"都道府県コード又は市区町村コード","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","設置位置","車いす使用者用トイレ","男子大便器洋式","男子大便器和式","男子小便器","女子便器洋式","女子便器和式","共用便器洋式","共用便器和式","トイレットペーパー","ベビーシート","ベビーチェア","オストメイト","備考","経度","緯度","分類"
"131148","東京都","中野区","鷺南公園","ロナンコウエン","","中野区若宮2-48","園内","","","","","","","","1","あり","なし","なし","なし","","139.642823770556","35.7183705754822","公衆トイレ一覧"
"131148","東京都","中野区","本二東郷やすらぎ公園（北側）","ホンニトウゴウヤスラギコウエン","","中野区本町2-14","園内","1","","","","","","","","あり","なし","あり","なし","","139.677721857752","35.6941183015078","公衆トイレ一覧"
"131148","東京都","中野区","本二東郷やすらぎ公園（北側）","ホンニトウゴウヤスラギコウエン","","中野区本町2-14","園内","1","","","","","","","","あり","なし","あり","なし","","139.678284629964","35.694448025779","公衆トイレ一覧"
"131148","東京都","中野区","小淀公園","コヨドコウエン","","中野区中央1-24","園内","1","","","1","","","","","あり","なし","なし","なし","","139.686417033983","35.7008514475903","公衆トイレ一覧"
"131148","東京都","中野区","仲町公園","ナカチョウコウエン","","中野区中央3-17","園内","","","","","","","","1","あり","なし","なし","なし","","139.674007653589","35.7008065645425","公衆トイレ一覧"
"131148","東京都","中野区","大和鹿鳴公園","ヤマトロクメイコウエン","","中野区大和町3-27","園内","","","","","","","","1","あり","なし","なし","なし","","139.646308524576","35.7128393386944","公衆トイレ一覧"
"131148","東京都","中野区","弥生こぶし公園","ヤヨイコブシコウエン","","中野区弥生町1-40","園内","","","","1","","","","1","あり","なし","なし","なし","","139.676269137391","35.6879533383165","公衆トイレ一覧"
"131148","東京都","中野区","ひまわり公園","ヒマワリコウエン","","中野区中央2-52","園内","","","","","","","","1","あり","なし","なし","なし","","139.675630710969","35.699630980574","公衆トイレ一覧"
"131148","東京都","中野区","白鷺ネムノキ公園","シラサギムネノキコウエン","","中野区白鷺1-7","園内","1","","","1","","","","1","あり","なし","なし","なし","","139.637786578436","35.7174652613121","公衆トイレ一覧"
"131148","東京都","中野区","わかさぎ公園","ワカサギコウエン","","中野区若宮2-56","園内","","","","1","","","","1","あり","なし","なし","なし","","139.640591566203","35.7174220976181","公衆トイレ一覧"
"131148","東京都","中野区","若宮オリーブ公園","ワカミヤオリーブコウエン","","中野区若宮3-57","園内","1","","","1","","","","1","あり","なし","なし","なし","","139.640309601643","35.7200454116048","公衆トイレ一覧"
"131148","東京都","中野区","囲町ひろば","カコイチョウヒロバ","","中野区中野4-21","園内","1","","","","","","","","あり","なし","あり","なし","閉鎖時間あり。詳細は指定管理者03-5343-7921へ","139.660182124721","35.7063369806861","公衆トイレ一覧"
"131148","東京都","中野区","白鷺せせらぎ公園（北側）","シラサギセセラギコウエン","","中野区白鷺1-4","園内","1","1","","1","","","","","あり","あり","あり","専用流し","","139.639104348886","35.7176402633595","公衆トイレ一覧"
"131148","東京都","中野区","白鷺せせらぎ公園（南側）","シラサギセセラギコウエン","","中野区白鷺1-4","園内","1","","","2","","","","","あり","なし","なし","なし","","139.639582686039","35.7169041503262","公衆トイレ一覧"
"131148","東京都","中野区","南台いちょう公園","ミナミダイイチョウコウエン","","中野区南台1-15","園内","1","1","","2","2","","","","あり","あり","あり","専用流し","開放6:00、閉鎖21:00","139.672958625554","35.6846250180609","公衆トイレ一覧"
"131148","東京都","中野区","本五ふれあい公園（中野通り側）","ホンゴフレアイコウエン","","中野区本町5-28","園内","1","1","","2","2","","","","あり","あり","あり","専用流し（給湯あり）","","139.669174422319","35.6917168064586","公衆トイレ一覧"
"131148","東京都","中野区","本五ふれあい公園（中学校側）","ホンゴフレアイコウエン","","中野区本町5-28","園内","1","","","","","","","","あり","なし","なし","なし","","139.670543856233","35.6921040044992","公衆トイレ一覧"
"131148","東京都","中野区","マロニエひろば","マロニエヒロバ","","中野区南台3-26","園内","","","","1","","","","1","あり","なし","なし","なし","","139.665416159155","35.6854532541751","公衆トイレ一覧"
"131148","東京都","中野区","なかしん広場","ナカシンヒロバ","","中野区本町3-2","園内","1","","","1","","","","","あり","あり","あり","便器に水栓併設","","139.67453688134","35.6932022371149","公衆トイレ一覧"
"131148","東京都","中野区","追分公園","オイワケコウエン","","中野区中央4-7","園内","1","","","","","","","","あり","あり","あり","専用流し（給湯仕様付きだがお湯設定無し）","","139.668896869687","35.6982101587785","公衆トイレ一覧"
"131148","東京都","中野区","鷺宮運動広場","サギノミヤウンドウヒロバ","","中野区白鷺3-1","園内","1","1","","2","2","","","","あり","なし","あり","専用流し（給湯あり）","","139.635704882865","35.7219869694579","公衆トイレ一覧"
"131148","東京都","中野区","妙正寺川公園","ミョウショウジガワコウエン","","中野区松が丘1-33","園内","1","","3","6","","6","","","あり","なし","なし","なし","閉鎖時間あり。詳細は指定管理者03-3951-2515へ","139.673009693847","35.7206754021441","公衆トイレ一覧"
"131148","東京都","中野区","千代田公園","チヨダコウエン","","中野区本町5-31","園内","","","","","","","","1","あり","なし","なし","なし","","139.669494688791","35.6928683660382","公衆トイレ一覧"
"131148","東京都","中野区","平和の森公園（南側）","ヘイワノモリコウエン","","中野区新井3-37","園内","1","1","","3","3","","","","あり","あり","あり","専用流し（給湯あり）","","139.66073426336","35.7150289477404","公衆トイレ一覧"
"131148","東京都","中野区","平和の森公園（北側）","ヘイワノモリコウエン","","中野区新井3-37","園内","1","2","","3","3","","","","あり","あり","あり","専用流し（給湯あり）","","139.663201726109","35.7175675710429","公衆トイレ一覧"
"131148","東京都","中野区","新井南公園","アライミナミコウエン","","中野区新井2-31","園内","1","","","","","","","","あり","あり","あり","専用流し","","139.662414013646","35.710881019487","公衆トイレ一覧"
"131148","東京都","中野区","朝日が丘児童館","アサヒガオカジドウカン","","中野区本町2-32","児童館外側","1","","","","","","","","なし","なし","なし","なし","閉鎖管理あり。詳細は子ども教育部育成活動推進課03-3228-5603へ","139.681091666446","35.6949996639588","公衆トイレ一覧"
"131148","東京都","中野区","南部高齢者会館","ナンブコウレイシャカイカン","","中野区南台5-24","高齢者会館外側","","","","","","","","1","あり","なし","なし","なし","","139.660793698193","35.6832811882955","公衆トイレ一覧"
"131148","東京都","中野区","上高田東高齢者会館","カミタカダヒガシコウレイシャカイカン","","中野区上高田4-17","高齢者会館外側","","","","1","","","","1","あり","なし","なし","なし","","139.67793795124","35.7129715052834","公衆トイレ一覧"
"131148","東京都","中野区","上高田児童館","カミタカダジドウカン","","中野区上高田5-29","児童館外側","","","","","","","","1","あり","なし","なし","なし","","139.675094594397","35.7185149534604","公衆トイレ一覧"
"131148","東京都","中野区","清掃事務所南中野事業所","セイソウジムショミナミナカノジギョウショ","","中野区弥生町6-1","清掃事務所外側","1","1","","2","1","","","","あり","あり","あり","専用流し（給湯あり）","","139.662163500275","35.6851284202428","公衆トイレ一覧"
"131148","東京都","中野区","野方ふれあい広場","ノガタフレアイヒロバ","","中野区野方5-19","広場内施設","","","","1","","","1","","あり","なし","なし","なし","野方ふれあい広場の管理は区民部産業振興課。","139.652017457343","35.7188768211095","公衆トイレ一覧"
"131148","東京都","中野区","川島ふれあい広場（コスモくん広場）","カワシマフレアイヒロバ","","中野区弥生町3-24","川島ふれあい広場内施設","","","","","","","1","","あり","なし","なし","なし","川島ふれあい広場の管理は区民部産業振興課。","139.673315468827","35.6877263532296","公衆トイレ一覧"
"131148","東京都","中野区","武蔵台公園","ムサシダイコウエン","","中野区上鷺宮5-26","園内","1","","","","","","","","あり","あり","あり","専用流し（給湯仕様付きだがお湯設定無し）","","139.630252619218","35.7304809231083","公衆トイレ一覧"
