"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131083","131083C00041","江東区","江東区立枝川一丁目公園内公衆便所","コウクリツエダガワイチチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Edagawa1-Park_KotoCity","131083","","東京都江東区枝川1-6-19","東京都","江東区","枝川1丁目","6-19","","枝川一丁目公園内","35.657361","139.803420","","","1","1","0","0","0","0","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00042","江東区","江東区立朝凪公園内公衆便所","コウクリツアサナギコウエンナイコウシュウベンジョ","Public_toilet_in_Asanagi-Park_KotoCity","131083","","東京都江東区枝川1-8-5","東京都","江東区","枝川1丁目","8-5","","朝凪公園内","35.657941","139.801984","","","3","2","1","0","2","1","1","0","0","0","1","有","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00043","江東区","江東区立枝川橋第三児童遊園内公衆便所","コウクリツエダガワバシダイサンジドウユウエンナイコウシュウベンジョ","Public_toilet_in_Edagawabashidai3-ChildPlaySpace_KotoCity","131083","","東京都江東区枝川2-4-17","東京都","江東区","枝川2丁目","4-17","","枝川橋第三児童遊園内","35.657936","139.805571","","","1","1","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00044","江東区","江東区立枝川三丁目公園内公衆便所","コウクリツエダガワサンチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Edagawa3-Park_KotoCity","131083","","東京都江東区枝川3-3-5","東京都","江東区","枝川3丁目","3-5","","枝川三丁目公園内","35.658924","139.808339","","","1","1","0","0","1","1","0","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00045","江東区","江東区立豊洲一丁目第二公園内公衆便所","コウトウクリツトヨスイチチョウメダイニコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu1dai2-Park_KotoCity","131083","","東京都江東区豊洲1-2-1","東京都","江東区","豊洲1丁目","2-1","","豊洲一丁目第二公園内","35.659800","139.792163","","","1","1","0","0","1","1","0","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00046","江東区","江東区立豊洲駅前公衆便所","コウトウクリツトヨスエキマエコウシュウベンジョ","Public_toilet_in_front_of_Toyosu.Sta._KotoCity","131083","","東京都江東区豊洲2-2-4","東京都","江東区","豊洲2丁目","2-4","","豊洲駅前広場","35.655243","139.795452","","","3","2","0","1","2","0","2","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00047","江東区","江東区立豊洲公園内公衆便所","コウトウクリツトヨスコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu-Park_KotoCity","131083","","東京都江東区豊洲2-3-6","東京都","江東区","豊洲2丁目","3-6","","豊洲公園内","35.653499","139.793515","","","5","3","1","1","4","2","2","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00048","江東区","江東区立豊洲三丁目公園内公衆便所","コウトウクリツトヨスサンチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu3-Park_KotoCity","131083","","東京都江東区豊洲3-5-11","東京都","江東区","豊洲3丁目","5-11","","豊洲三丁目公園内","35.658055","139.797034","","","2","1","1","0","1","1","0","0","0","0","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00049","江東区","江東区立豊洲四丁目公園内公衆便所","コウトウクリツトヨスヨンチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu4-Park_KotoCity","131083","","東京都江東区豊洲4-5-30先","東京都","江東区","豊洲4丁目","5-30 先","","豊洲四丁目公園内","35.654929","139.798397","","","1","1","0","0","0","0","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00050","江東区","江東区立豊洲五丁目公園内公衆便所","コウトウクリツトヨスゴチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu5-Park_KotoCity","131083","","東京都江東区豊洲5-3-1","東京都","江東区","豊洲5丁目","3-1","","豊洲五丁目公園内","35.653152","139.795867","","","2","2","0","0","0","0","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00051","江東区","江東区立豊洲六丁目第二公園内公衆便所","コウトウクリツトヨスロクチョウメダイニコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu6dai2-Park_KotoCity","131083","","東京都江東区豊洲6-2-1","東京都","江東区","豊洲6丁目","2-1","","豊洲六丁目第二公園内","35.650692","139.792814","","","1","1","0","0","1","1","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00052","江東区","江東区立豊洲六丁目公園内公衆便所","コウトウクリツトヨスロクチョウメコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu6-Park_KotoCity","131083","","東京都江東区豊洲6-2-35","東京都","江東区","豊洲6丁目","2-35","","豊洲六丁目公園内","35.645875","139.791309","","","2","1","0","1","2","1","1","0","0","0","0","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00053","江東区","江東区立豊洲ぐるり公園内公衆便所","コウトウクリツトヨスグルリコウエンナイコウシュウベンジョ","Public_toilet_in_Toyosu-Gururi-Park_KotoCity","131083","","東京都江東区豊洲6-5-33","東京都","江東区","豊洲6丁目","5-33","","豊洲ぐるり公園内","35.640378","139.779113","","","4","3","0","1","2","0","2","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00054","江東区","江東区立東雲緑道公園内公衆便所","コウトウクリツシノノメリョクドウコウエンナイコウシュウベンジョ","Public_toilet_in_Shinonomeryokudou-Park_KotoCity","131083","","東京都江東区東雲1-7-4","東京都","江東区","東雲1丁目","7-4","","東雲緑道公園内","35.645792","139.800728","","","1","1","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
