市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,,,,,,,,,,
132241,0000000043,東京都,多摩市,鶴牧有朋倶楽部,ツルマキユーフォークラブ,,東京都多摩市鶴牧5-25-8,,,35.611048,139.421643,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000044,東京都,多摩市,宝蔵橋むつみの家,ホウゾウバシムツミノイエ,,東京都多摩市和田1686,,,35.650092,139.434923,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000045,東京都,多摩市,聖ヶ丘一丁目集会所,ヒジリガオカイッチョウメシュウカイジョ,,東京都多摩市聖ケ丘1-7-13,,,35.638012,139.454646,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000046,東京都,多摩市,永山六丁目集会所,ナガヤマロクチョウメシュウカイジョ,,東京都多摩市永山6-27,,,35.613159,139.445916,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000047,東京都,多摩市,関戸南田倶楽部,セキドミナミダクラブ,,東京都多摩市聖ヶ丘1-27,,,35.637517,139.452019,,,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000048,東京都,多摩市,連光寺向ノ岡集会所,レンコウジムノオカシュウカイジョ,,東京都多摩市連光寺1-31-31-34,,,35.646280,139.460241,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000049,東京都,多摩市,関戸三丁目倶楽部,セキドサンチョウメクラブ,,東京都多摩市関戸3-10-11,,,35.649789,139.455383,2,1,,1,1,,1,1,,1,,有,,無,,,,,,,,,,,,,,,,,
132241,0000000050,東京都,多摩市,唐木田李久保自治会館,カラキダスモモクボジチカイカン,,東京都多摩市唐木田1-43-6,,,35.615460,139.405335,1,,,1,1,,1,,,,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000051,東京都,多摩市,永山橋第２集会所,ナガヤマハシダイ２シュウカイジョ,,東京都多摩市永山1-10-10,,,35.633129,139.446164,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000052,東京都,多摩市,多摩市立永山図書館,タマシリツナガヤマトショカン,Tama City Nagayama Library,東京都多摩市永山1-5,,ベルブ永山3階,35.628322,139.448236,5,3,1,1,3,1,2,0,0,0,1,有,,無,09:00,19:30,"土日祝休日は17時まで
木曜は休館",,,,,,,,,,,,,,
132241,0000000053,東京都,多摩市,多摩市立図書館（本館）,タマシリツトショカン（ホンカン）,Tama City Library (main building),東京都多摩市落合2-29,,,35.617565,139.425219,15,10,2,3,12,5,7,0,0,0,1,有,,無,09:30,18:00,"土日は17時まで
第1木曜、祝休日は休館",,,,,,,,,,,,,,
132241,0000000054,東京都,多摩市,多摩市立東寺方図書館,タマシリツヒガシテラカタトショカン,Higashiterakata Library,東京都多摩市東寺方626-7,,,35.643283,139.437715,5,4,0,1,4,3,1,0,0,0,1,有,,無,10:00,17:00,木曜、祝休日は休館,,,,,,,,,,,,,,
132241,0000000055,東京都,多摩市,多摩市立豊ヶ丘図書館,タマシリツトヨガオカトショカン,Toyogaoka Library,東京都多摩市豊ヶ丘5-6,,,35.614673,139.434881,3,2,0,1,2,1,1,0,0,0,1,有,,無,10:00,18:00,"土日は17時まで
第1木曜、祝休日は休館",,,,,,,,,,,,,,
132241,0000000056,東京都,多摩市,多摩市立関戸図書館,タマシリツセキドトショカン,Sekido Library,東京都多摩市関戸1-1-5,,ザ・スクエア2階,35.651883,139.445933,3,2,0,1,1,0,1,0,0,0,0,無,,無,10:00,19:30,"土日祝休日は17時まで
木曜は休館",,,,,,,,,,,,,,
132241,0000000057,東京都,多摩市,多摩市立東寺方地区市民ホール,タマシリツヒガシテラカタチクシミンホール,Tama　Municipal　higashiterakata　district　Town　Hall,東京都多摩市東寺方626-7,,,35.643283,139.437715,18,12,3,3,12,9,3,,,,3,有,,有,09:00,17:00,,,,,,,,,,,,,,,
132241,0000000058,東京都,多摩市,多摩市立諏訪地区市民ホール,タマシリツスワチクシミンホール,Tama　Municipal　Suwa　district　Town　Hall,東京都多摩市諏訪5-1,,,35.623547,139.454470,9,5,2,2,5,3,2,,,,2,有,,有,09:00,17:00,,,,,,,,,,,,,,,
